"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"RN7SL630P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL632P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL633P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL634P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL638P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL63P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL640P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL643P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL645P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL646P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL647P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL649P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL658P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL659P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL666P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL675P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL677P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL680P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL691P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL698P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL700P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL702P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL708P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL709P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL712P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL713P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL714P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL715P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL717P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL719P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL720P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL726P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL727P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL728P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL72P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL735P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL741P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL750P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL751P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL756P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL759P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL761P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL763P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL766P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL769P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL77P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL782P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL786P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL787P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL788P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL78P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL790P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL793P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL796P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL797P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL802P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL807P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL808P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL813P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL815P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL817P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL818P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL820P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL822P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL826P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL828P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL831P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL837P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL83P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL841P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL846P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL853P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL861P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL862P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL863P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL868P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL869P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL870P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL87P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL93P";0;NA;NA;NA;NA;NA;NA;NA
"RN7SL98P";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP343";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP463";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP524";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP525";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP531";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP532";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP534";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP535";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP536";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP71";0;NA;NA;NA;NA;NA;NA;NA
"RNA5SP85";0;NA;NA;NA;NA;NA;NA;NA
"RNASE11";0;NA;NA;NA;NA;NA;NA;NA
"RNASE12";0;NA;NA;NA;NA;NA;NA;NA
"RNASE9";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-100P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-104P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-105P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-114P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-115P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-117P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-119P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-125P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-128P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-129P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-131P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-132P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-133P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-140P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-142P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-146P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-148P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-14P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-150P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-15P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-18P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-19P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-20P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-21P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-22P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-23P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-24P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-29P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-31P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-32P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-34P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-35P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-39P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-42P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-44P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-45P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-46P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-47P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-48P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-49P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-54P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-57P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-5P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-61P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-63P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-64P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-65P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-6P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-74P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-76P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-77P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-7P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-80P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-83P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-86P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-94P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-96P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-97P";0;NA;NA;NA;NA;NA;NA;NA
"RNU1-98P";0;NA;NA;NA;NA;NA;NA;NA
"RNU105B";0;NA;NA;NA;NA;NA;NA;NA
"RNU11-3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU11-5P";0;NA;NA;NA;NA;NA;NA;NA
"RNU11-6P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-12P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-13P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-14P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-15P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-16P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-18P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-19P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-20P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-21P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-23P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-26P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-27P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-29P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-31P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-34P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-35P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-38P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-40P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-41P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-42P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-43P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-44P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-48P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-49P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-4P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-51P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-53P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-54P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-55P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-56P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-57P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-59P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-60P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-61P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-62P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-64P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-66P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-72P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-8P";0;NA;NA;NA;NA;NA;NA;NA
"RNU2-9P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-10P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-11P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-12P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-13P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-15P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-17P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-18P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-20P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-23P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-25P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-26P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-27P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-31P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-33P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-34P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-35P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-37P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-38P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-41P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-42P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-43P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-44P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-46P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-49P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-4P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-50P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-54P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-55P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-56P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-57P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-60P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-63P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-64P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-65P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-66P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-67P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-69P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-6P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-70P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-71P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-73P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-74P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-75P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-76P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-77P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-79P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-7P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-81P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-83P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-88P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-90P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-91P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-92P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4-9P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC10P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC12P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC13P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC15P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC2P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC4P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC5P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC7P";0;NA;NA;NA;NA;NA;NA;NA
"RNU4ATAC9P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5A-2P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5A-3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5A-4P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5A-5P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5B-4P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5B-6P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5D-2P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5E-10P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5E-3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5E-5P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5E-7P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5E-8P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5F-2P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5F-3P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5F-6P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5F-7P";0;NA;NA;NA;NA;NA;NA;NA
"RNU5F-8P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1000P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1001P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1003P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1006P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1007P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1009P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-100P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1012P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1013P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1014P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1015P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1017P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1018P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1019P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1020P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1021P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1022P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1023P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1025P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1027P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1028P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1029P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-102P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1031P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1032P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1034P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1035P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1036P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1037P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1038P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1039P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1040P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1041P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1042P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1043P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1044P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1045P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1047P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1049P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-104P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1051P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1052P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1054P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1057P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1059P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1060P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1062P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1064P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1066P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1067P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1068P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1069P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1072P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1073P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1074P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1075P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1078P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1079P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-107P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1080P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1081P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1082P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1083P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1084P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1085P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1087P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1088P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1089P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-108P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1090P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1091P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1092P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1094P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1095P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1096P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1097P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-109P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1101P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1102P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1103P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1105P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1106P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1107P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1108P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1109P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-110P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1112P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1113P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1114P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1115P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1116P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1117P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1119P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-111P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1120P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1121P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1123P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1124P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1125P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1126P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1127P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1129P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-112P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1130P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1131P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1132P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1134P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1137P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1138P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-113P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1140P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1143P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1145P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1146P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1148P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1149P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-114P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1150P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1151P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1153P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1158P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1159P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-115P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1160P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1163P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1167P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1168P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1169P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1172P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1174P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1178P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1179P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-117P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1181P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1183P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1184P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1186P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1187P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1188P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1191P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1192P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1194P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1195P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1196P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1198P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1199P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-119P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1200P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1201P";0;NA;NA;NA;NA;NA;NA;NA
"RNU6-1204P";0;NA;NA;NA;NA;NA;NA;NA
